Title,Price,Shipping,Condition,Date Sold,URL
Lego Brickheadz Herr der Ringe Konvolut - #40751 & #40630 & #40631 & #40632 NEU,"EUR 99,98","+EUR 7,69 Versand",Brandneu,2025-01-06,N/A
"LEGO® BrickHeadz (40632): Aragorn™ und Arwen™ - selten, exklusiv **NEU & OVP**","EUR 27,99","+EUR 5,49 Versand",Brandneu,2025-01-06,N/A
LEGO 40630 BrickHeadz Frodo & Gollum - NEU & UNGEÖFFNET,"EUR 14,50","+EUR 4,19 Versand",Brandneu,2025-01-05,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539) Neu Ungeöffnet,"EUR 11,00","+EUR 4,50 Versand",Brandneu,2025-01-05,N/A
NEU - 3x Lego BrickHeadz Star Wars - 40547+40539+75317 Sammlung Konvolut - OVP,"EUR 33,40","+EUR 6,19 Versand",Brandneu,2025-01-05,N/A
LEGO Icons BRICKHEADZ: Gandalf der Graue und Balrog (40631) EOL NEU OVP,"EUR 30,21","+EUR 6,19 Versand",Brandneu,2025-01-05,N/A
LEGO® 40632 - Aragorn und Arwen + NEU & OVP Brickheadz Herr Der Ringe Lord Of,"EUR 29,39",Kostenloser Versand,Brandneu,2025-01-05,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539),"EUR 9,99","+EUR 3,99 Versand",Neu (Sonstige),2025-01-05,N/A
LEGO 40632 BrickHeadz Aragorn und Arwen 261 Teile OVP NEU Herr der Ringe LOTR,"EUR 29,99",Kostenloser Versand,Brandneu,2025-01-05,N/A
LEGO BRICKHEADZ: Frodo und Gollum (40630) Neu,"EUR 12,00","+EUR 4,99 Versand",Brandneu,2025-01-05,N/A
LEGO® BrickHeadz 40632 Aragorn und Arwen LOTR HDR Herr der Ringe,"EUR 29,90",Kostenloser Versand,Brandneu,2025-01-04,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539)  NEU OVP EOL ungeöffnet,"EUR 10,50","+EUR 5,20 Versand",Brandneu,2025-01-04,N/A
✅ LEGO BrickHeadz Herr der Ringe 40632 Aragorn und Arwen Nr. 187 188 NEU OVP ✅,"EUR 28,44",Kostenloser Versand,Brandneu,2025-01-03,N/A
"LEGO BRICKHEADZ: Aragorn & Arwen (40632), nagelneu versiegelt","EUR 33,73","+ ca. EUR 12,99 Versand",Brandneu,2025-01-03,N/A
LEGO BRICKHEADZ Gandalf der Graue und Balrog 40631 Neu/ovp,"EUR 29,90","+EUR 5,49 Versand",Brandneu,2025-01-03,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539),"EUR 17,99","+EUR 5,49 Versand",Brandneu,2025-01-03,N/A
LEGO® BrickHeadz 40632 Aragorn und Arwen  The Lord of the Rings™ NEU & OVP,"EUR 39,99",Kostenloser Versand,Brandneu,2025-01-03,N/A
LEGO 40631 BRICKHEADZ - Gandalf der Graue und Balrog NEU OVP Weihnachten Sammler,"EUR 35,49",Kostenloser Versand,Brandneu,2025-01-03,N/A
LEGO 40631 BrickHeadz Gandalf der Graue und Balrog - NEU & UNGEÖFFNET,"EUR 29,50","+EUR 4,95 Versand",Brandneu,2025-01-03,N/A
LEGO® BrickHeadz 40631 Gandalf der Graue und Balrog™,"EUR 38,89",Kostenloser Versand,Brandneu,2025-01-03,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539),"EUR 15,90",Kostenloser Versand,Brandneu,2025-01-02,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539) Neu & OVP,"EUR 15,00",Kostenloser Versand,Brandneu,2025-01-02,N/A
LEGO® BrickHeadz 40630 Frodo™ und Gollum™ Neu OVP Sammlung Top Zustand,"EUR 12,60","+EUR 5,49 Versand",Brandneu,2025-01-01,N/A
LEGO Brickheadz 40539 Ahsoka Tano Star Wars NEU OVP EOL Jubiläum,"EUR 17,99",Kostenloser Versand,Brandneu,2025-12-29,N/A
Lego Brick Headz (The Lord of the Rings) - verschiedene Sets zum aussuchen - Neu,"EUR 34,99","+EUR 5,99 Versand",Brandneu,2025-12-30,N/A
"Lego Technic Konvolut, Sets 8081, 8419, 42034 unvollständig","EUR 20,00","+EUR 5,19 Versand",Gebraucht,2025-12-30,N/A
LEGO Brickheadz | 40539 Ahsoka Tano Star Wars | NEU & OVP,"EUR 10,99","+EUR 5,49 Versand",Brandneu,2025-12-30,N/A
Lego BrickHeadz Nr. 150 Star Wars Ahsoka Tano OVP 40539 Neu,"EUR 17,99",Kostenloser Versand,Brandneu,2025-12-30,N/A
LEGO Brickheadz LotR- 40630 40631 40632  - Gandalf Frodo Aragon - NEW NEU,"EUR 99,99",Kostenloser Versand,Brandneu,2025-12-30,N/A
Lego BRICKHEADZ Gandalf der Graue und Balrog 40631,"EUR 35,00",Kostenloser Versand,Brandneu,2025-12-30,N/A
LEGO® BRICKHEADZ 40632 Herr der Ringe: Aragorn und Arwen ⭐NEU ⭐OVP | 261 Teile,"EUR 29,99",Kostenloser Versand,Brandneu,2025-12-30,N/A
Lego Star Wars • 40658 & 40539 • Holiday • Ahsoka originalverpackt new & sealed,"EUR 25,00","+EUR 6,99 Versand",Neu (Sonstige),2025-12-29,N/A
Lego Star Wars • 40658 & 75265 • Holiday • originalverpackt • new & sealed,"EUR 33,83","+EUR 6,99 Versand",Neu (Sonstige),2025-12-29,N/A
Lego Star Wars Konvolut • 75334 40539 40658 75265 30495 75232 75317 new & sealed,"EUR 89,00","+EUR 6,99 Versand",Neu (Sonstige),2025-12-29,N/A
LEGO® 40631 - Gandalf der Graue und Balrog + NEU & OVP +,"EUR 49,95",Kostenloser Versand,Brandneu,2025-12-29,N/A
LEGO BRICKHEADZ: 40631 - Herr der Ringe / Gandalf der Graue und Balrog * Neu&OVP,"EUR 38,29",Kostenloser Versand,Brandneu,2025-12-29,N/A
Lego BrickHeadz™ 40631 - Gandalf der Graue und Balrog™ - OVP,"EUR 29,00","+EUR 5,49 Versand",Brandneu,2025-12-28,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539) *NEU*,"EUR 15,99","+EUR 5,49 Versand",Brandneu,2025-12-17,N/A
LEGO® 40632 - Aragorn und Arwen + NEU & OVP +,"EUR 39,95",Kostenloser Versand,Brandneu,2025-12-28,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539) NEU & OVP,"EUR 29,00","+EUR 18,00 Versand",Brandneu,2025-12-27,N/A
LEGO® Herr der Ringe BrickHeadz 40631 Gandalf der Graue und Balrog - NEU/OVP,"EUR 38,90",Kostenloser Versand,Brandneu,2025-12-27,N/A
LEGO Brickheadz* 40631 The Lord of the Rings* Gandalf der Graue & Balrog * NEU,"EUR 29,99","+EUR 4,99 Versand",Brandneu,2025-12-26,N/A
LEGO STAR WARS Nr. 150 BrickHeadz 40539 Ahsoka Tano - NEU & OVP,"EUR 29,00",Kostenloser Versand,Brandneu,2025-06-05,N/A
LEGO Brickheadz | 40539 Ahsoka Tano Star Wars | NEU & OVP,"EUR 10,50","+EUR 4,79 Versand",Brandneu,2025-12-25,N/A
LEGO® Jurassic Park Ian Malcolm aus 76951,"EUR 9,95","+EUR 2,70 Versand",Neu (Sonstige),2025-12-25,N/A
LEGO BRICKHEADZ: Aragorn & Arwen Set 40632 Herr der Ringe Neu & Versiegelt,"EUR 45,85","+EUR 35,85 Versand",Brandneu,2025-12-24,N/A
LEGO BRICKHEADZ: Ahsoka Tano (40539),"EUR 15,00",Kostenloser Versand,Brandneu,2025-12-24,N/A
LEGO Brickheadz | 40539 Ahsoka Tano Star Wars | NEU & OVP,"EUR 14,50",Kostenloser Versand,Brandneu,2025-12-23,N/A
"Lego Konvolut Kilo Bausteine (EUR 23,49 / 1 kg) Steine Kiloware Sammlung XXL","EUR 23,49",Kostenloser Versand,Gebraucht,2025-12-23,N/A
